code_uic;gare;guichet_adapte_pmr;boucle_magnetique;portes_automatiques_acces;bandes_eveil_vigilance;automates_transilien_accessibles;cab_passage_elargi_controle;ascenceurs;escaliers_mecaniques
87758011;LA DEFENSE GRANDE ARCHE;;;;;;;;
87681452;LA FERTE ALAIS;0;1;0;0;0;Pas de CAB;0;1
87116392;LA FERTE GAUCHER;;;;;;;;
87430819;LA FERTE GAUCHER CENTRE;;;;;;;;
87682476;LA GRANDE PAROISSE;0;0;0;0;0;Pas de CAB;0;
87682179;LE MEE;1;1;1;1;1;1;0;2
87271551;LE PLESSIS BELLEVILLE;;;;;;;;
87382366;LE VAL D'OR;0;1;1;1;1;2;0;2
87492108;LES ARDOINES;0;1;0;0;0;Pas de CAB;0;
87386680;LES MUREAUX;1;1;1;0;1;2;0;
87381582;LIMAY;0;1;0;0;0;Pas de CAB;0;
87276576;LUZARCHES;1;1;1;1;1;Pas de CAB;0;
87386052;ACHERES GRAND CORMIER;0;0;0;1;0;Pas de CAB;0;
87381657;ACHERES VILLE;1;1;1;1;1;2;2;1
87543090;ANGERVILLE;0;1;0;0;0;Pas de CAB;0;
87393363;BEYNES;0;0;0;0;0;Pas de CAB;0;
87684407;BOIGNEVILLE;0;0;0;0;0;Pas de CAB;0;
87682203;BOIS LE ROI;0;1;0;0;0;Pas de CAB;0;
87684118;BOURRON MARLOTTE GREZ;0;0;0;1;0;Pas de CAB;0;
87545194;BRETIGNY;1;1;1;0;1;1;0;
87758854;BURES SUR YVETTE;;;;;;;;
87682161;CESSON;0;1;1;1;1;Pas de CAB;0;
87276030;CHAMP DE COURSES D'ENGHIEN;0;1;0;0;1;1;0;
87393058;CHAMP DE MARS TOUR EIFFEL;1;1;0;0;1;1;0;
87381475;CHANTELOUP LES VIGNES;1;1;1;0;1;Pas de CAB;0;
87758003;CHARLES DE GAULLE ETOILE;;;;;;;;
87394007;CHARTRES;;;;;;;;
87682419;CHARTRETTES;0;0;0;0;0;Pas de CAB;0;
87116350;CHAUFFRY;;;;;;;;
87116111;CHELLES GOURNAY;1;1;1;1;1;2;5;3
87681007;CORBEIL ESSONNES;1;1;1;1;0;Pas de CAB;0;
87332965;CREDIT AGRICOLE (DOMMERVILLE);;;;;;;;
87271593;CREPY EN VALOIS;;;;;;;;
87271403;DRANCY;1;1;1;1;1;1;2;2
87276022;ENGHIEN LES BAINS;1;1;1;0;1;Pas de CAB;0;
87394114;EPERNON;;;;;;;;
87386763;EPONE MEZIERES;0;1;0;0;0;Pas de CAB;0;
87276055;ERMONT EAUBONNE;1;1;1;1;1;2;4;2
87683201;ETIGNY VERON;;;;;;;;
